ID,Nome,Idade,Série,Nota_Matemática,Nota_Português
3,Estudante_450,18,1º Ano,92,89
4,Estudante_366,16,9º Ano,82,75
7,Estudante_749,16,3º Ano,71,60
8,Estudante_966,15,9º Ano,85,86
10,Estudante_256,17,3º Ano,87,96
11,Estudante_255,18,2º Ano,68,89
12,Estudante_364,15,9º Ano,100,99
14,Estudante_270,15,3º Ano,100,72
16,Estudante_533,15,3º Ano,78,80
17,Estudante_721,18,9º Ano,98,68
18,Estudante_742,14,2º Ano,88,81
20,Estudante_405,17,1º Ano,72,92
21,Estudante_108,16,1º Ano,90,70
22,Estudante_154,16,9º Ano,61,92
23,Estudante_363,15,3º Ano,94,82
24,Estudante_526,14,2º Ano,83,91
25,Estudante_123,18,3º Ano,86,89
26,Estudante_990,16,1º Ano,74,77
27,Estudante_106,17,1º Ano,91,70
28,Estudante_187,18,2º Ano,62,61
30,Estudante_190,16,2º Ano,77,74
31,Estudante_492,17,9º Ano,89,89
32,Estudante_380,17,1º Ano,93,91
33,Estudante_388,17,3º Ano,94,96
35,Estudante_369,16,1º Ano,77,91
36,Estudante_501,15,3º Ano,78,60
37,Estudante_772,14,2º Ano,67,76
38,Estudante_330,14,9º Ano,73,77
40,Estudante_55,17,1º Ano,94,92
41,Estudante_569,15,2º Ano,97,74
46,Estudante_188,17,1º Ano,84,61
47,Estudante_718,15,1º Ano,67,84
48,Estudante_679,17,9º Ano,98,66
49,Estudante_380,15,1º Ano,70,96
50,Estudante_639,17,9º Ano,77,76
51,Estudante_670,16,1º Ano,74,62
52,Estudante_649,18,9º Ano,61,73
53,Estudante_271,17,1º Ano,100,82
54,Estudante_1,14,9º Ano,79,70
55,Estudante_451,17,3º Ano,84,97
62,Estudante_304,14,2º Ano,63,83
64,Estudante_213,14,2º Ano,62,63
65,Estudante_392,14,9º Ano,85,68
68,Estudante_211,14,2º Ano,91,99
69,Estudante_998,15,2º Ano,60,91
70,Estudante_494,17,3º Ano,66,75
71,Estudante_428,18,2º Ano,66,83
73,Estudante_457,16,9º Ano,97,88
74,Estudante_666,17,9º Ano,93,61
75,Estudante_900,18,3º Ano,78,63
76,Estudante_964,17,2º Ano,83,65
77,Estudante_656,16,1º Ano,78,78
79,Estudante_786,14,9º Ano,88,81
81,Estudante_359,14,3º Ano,78,65
82,Estudante_671,18,1º Ano,75,66
83,Estudante_108,14,3º Ano,90,70
84,Estudante_374,14,2º Ano,64,78
86,Estudante_19,18,3º Ano,74,68
87,Estudante_829,14,3º Ano,67,74
90,Estudante_212,18,9º Ano,87,98
92,Estudante_147,16,2º Ano,76,81
94,Estudante_992,14,9º Ano,90,73
95,Estudante_12,17,2º Ano,76,84
99,Estudante_839,18,9º Ano,89,86
100,Estudante_712,16,2º Ano,76,88
